Comment,Result,Algorithm,Memory usage,CPU consume,Swaps count,Comparions,Stack memory
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,mergeSort,0,0.1982,19952,8701,112
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,heapSort,0,0.1602,8865,16613,0
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,bubbleSort,0,3.7884,239127,939060,0
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,insertionSort,0,2.0248,239127,240125,0
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,selectionSort,0,1.7144,965,499500,0
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,quickSort,0,0.1569,3702,10833,32
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,dualQuickSort,0,0.235,3493,21902,32
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,librarySort,0,0.6826,21906,8865,96
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,timSort,0,0.4027,17089,12894,112
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,cocktailShakerSort,0,5.4936,239127,514485,0
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,combSort,0,0.0872,2123,21704,16
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,tournamentSort,0,0.3931,2000,8673,64
"Run,1<-/level1_n1000_genAbsoluteSmall_v1.in",Success,introSort,0,0.0761,2180,10396,96
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,mergeSort,626688,5.4981,574464,260475,112
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,heapSort,0,5.7705,266956,509170,0
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,bubbleSort,0,1990.68,99232150,396520173,0
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,insertionSort,0,758.882,99232150,99252144,0
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,selectionSort,0,521.409,19838,199990000,0
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,quickSort,0,2.3007,105879,294457,32
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,dualQuickSort,0,5.2744,111524,1618007,32
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,librarySort,733184,27.6984,1968579,266292,96
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,timSort,626688,4.4225,491817,305862,112
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,cocktailShakerSort,0,1282.98,99232150,202529873,0
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,combSort,0,2.4737,66659,653400,16
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,tournamentSort,1753088,11.8349,40000,260457,64
"Run,1<-/level2_n20000_genAbsoluteSmall_v1.in",Success,introSort,0,1.7948,71067,267177,96
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Success,mergeSort,753664,20.3901,2257856,1038328,112
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Success,heapSort,0,18.1922,1061287,2034304,0
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,bubbleSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,insertionSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Success,selectionSort,0,5621.37,69739,2449965000,0
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,bubbleSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,insertionSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Success,quickSort,0,8.2785,411809,1269590,32
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,bubbleSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,insertionSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Success,dualQuickSort,0,30.2348,370852,10047209,32
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,bubbleSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,insertionSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Success,librarySort,1081344,149.79,11203845,1056853,96
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,bubbleSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,insertionSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Success,timSort,311296,17.8895,1961334,1168588,112
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,bubbleSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,insertionSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,cocktailShakerSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Success,combSort,0,9.9301,271298,2636736,16
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,bubbleSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,insertionSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,cocktailShakerSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Success,tournamentSort,4706304,50.1583,140000,1038349,64
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,bubbleSort,0,0,0,0,
"Run,1<-/level3_n70000_genAbsoluteSmall_v1.in",Timeout,insertionSort,0,0,0,0,
